pre_id,post_id,x,y,z,type
10000,15387,24115,30177,45229,pre
10000,10807,24115,30177,45229,pre
10000,17889,24692,30332,44706,pre
10000,15505,24692,30332,44706,pre
10000,10391,24334,30168,45045,pre
10000,14882,24334,30168,45045,pre
10000,12787,24394,28833,45832,pre
10000,10860,24394,28833,45832,pre
10000,22275,24394,28833,45832,pre
10000,23253,24511,29550,46464,pre
10000,25503,24511,29550,46464,pre
10000,25503,24560,29463,46186,pre
10000,11084,24560,29463,46186,pre
10000,21589,24560,29463,46186,pre
10000,22805,24597,29143,46040,pre
10000,14882,24597,29143,46040,pre
10000,11084,24597,29143,46040,pre
10000,15505,24597,29143,46040,pre
10000,26076,24605,29155,46003,pre
10000,22805,24605,29155,46003,pre
10000,11084,24605,29155,46003,pre
10000,15505,24605,29155,46003,pre
10000,26076,24610,29141,45962,pre
10000,15505,24610,29141,45962,pre
10000,14882,24596,29240,46086,pre
10000,11084,24596,29240,46086,pre
10000,21589,24596,29240,46086,pre
10000,25503,24596,29240,46086,pre
10000,14882,24598,29207,46070,pre
10000,15505,24598,29207,46070,pre
10000,100014,25215,41484,81792,pre
10000,18446,25215,41484,81792,pre
10000,100014,25215,41484,81792,pre
10000,18446,25215,41484,81792,pre
10000,100021,24617,40576,81410,pre
10000,17889,24778,29733,49406,pre
10000,11047,24786,29739,49434,pre
10000,100014,25215,41484,81792,pre
10000,18446,25215,41484,81792,pre
10000,100021,24843,40709,81617,pre
10000,29738,25245,41084,80887,pre
10000,29738,25245,41084,80887,pre
10000,100014,25159,41039,81128,pre
10000,100014,25159,41039,81128,pre
10000,100014,25159,41039,81128,pre
10000,100021,24617,40576,81410,pre
10000,29738,25245,41084,80887,pre
10000,29738,25245,41084,80887,pre
10000,29738,25245,41084,80887,pre
10000,43320,24762,40082,80692,pre
10000,43320,24762,40082,80692,pre
10000,100021,24958,40046,80512,pre
10000,100021,24958,40046,80512,pre
10000,100021,24958,40046,80512,pre
10000,100014,25197,40314,80150,pre
10000,100014,25197,40314,80150,pre
10000,100014,25197,40314,80150,pre
10000,31188,24502,40270,80195,pre
10000,31188,24502,40270,80195,pre
10000,31188,24502,40270,80195,pre
10000,36287,24523,39959,79673,pre
10000,36287,24523,39959,79673,pre
10000,36287,24523,39959,79673,pre
10000,36287,24523,39959,79673,pre
10000,100021,24923,39264,79480,pre
10000,100021,24923,39264,79480,pre
10000,100014,25261,39427,78918,pre
10000,100014,25261,39427,78918,pre
10000,100014,25261,39427,78918,pre
10000,100014,25261,39427,78918,pre
10000,40850,24265,39498,78478,pre
10000,40850,24265,39498,78478,pre
10000,100014,25261,39427,78918,pre
10000,100017,25187,38761,78628,pre
10000,46907,24815,38506,78527,pre
10000,46907,24815,38506,78527,pre
10000,46907,24815,38506,78527,pre
10000,21033,24638,38684,78374,pre
10000,21033,24638,38684,78374,pre
10000,21033,24638,38684,78374,pre
10000,21033,24638,38684,78374,pre
10000,21033,24638,38684,78374,pre
10000,46907,24815,38506,78527,pre
10000,39757,24110,39226,77911,pre
10000,39757,24110,39226,77911,pre
10000,39757,24110,39226,77911,pre
10000,39757,24110,39226,77911,pre
10000,39757,24110,39226,77911,pre
10000,39757,24110,39226,77911,pre
10000,30966,24088,39211,77815,pre
10000,30966,24088,39211,77815,pre
10000,30966,24088,39211,77815,pre
10000,100014,25173,38677,78002,pre
10000,100015,25090,38578,78244,pre
10000,100015,25090,38578,78244,pre
10000,100014,25173,38677,78002,pre
10000,21033,24638,38684,78374,pre
10000,100017,25187,38761,78628,pre
10000,152817,24584,39574,77804,pre
10000,152817,24584,39574,77804,pre
10000,152817,24584,39574,77804,pre
10000,152817,24584,39574,77804,pre
10000,152817,24584,39574,77804,pre
10000,37477,24203,39219,77669,pre
10000,37477,24203,39219,77669,pre
10000,37477,24203,39219,77669,pre
10000,30966,24088,39211,77815,pre
10000,30966,24031,39109,77689,pre
10000,30966,24031,39109,77689,pre
10000,30966,24031,39109,77689,pre
10000,30966,24031,39109,77689,pre
10000,30966,23950,38874,77315,pre
10000,30966,23950,38874,77315,pre
10000,30966,23950,38874,77315,pre
10000,30966,23950,38874,77315,pre
10000,21033,24681,38080,77359,pre
10000,21033,24681,38080,77359,pre
10000,21033,24681,38080,77359,pre
10000,21033,24681,38080,77359,pre
10000,30966,23950,38874,77315,pre
10000,30966,23950,38874,77315,pre
10000,30966,23950,38874,77315,pre
10000,30966,23950,38874,77315,pre
10000,21033,24681,38080,77359,pre
10000,37477,23983,38539,76550,pre
10000,37477,23983,38539,76550,pre
10000,37477,23983,38539,76550,pre
10000,30966,23915,38378,76455,pre
10000,30966,23915,38378,76455,pre
10000,30966,23915,38378,76455,pre
10000,30966,23915,38378,76455,pre
10000,30966,23915,38378,76455,pre
10000,30966,23915,38378,76455,pre
10000,23284,25185,37827,76480,pre
10000,23284,25185,37827,76480,pre
10000,23284,25185,37827,76480,pre
10000,23284,25185,37827,76480,pre
10000,23284,25185,37827,76480,pre
10000,23284,25185,37827,76480,pre
10000,100018,25177,38031,75841,pre
10000,23284,25170,37894,76242,pre
10000,23284,25170,37894,76242,pre
10000,23284,25170,37894,76242,pre
10000,23284,25170,37894,76242,pre
10000,23284,25017,37510,76039,pre
10000,23284,25017,37510,76039,pre
10000,21033,24630,37483,76091,pre
10000,21033,24630,37483,76091,pre
10000,100018,25177,38031,75841,pre
10000,30966,24028,37976,75555,pre
10000,30966,24028,37976,75555,pre
10000,30966,24028,37976,75555,pre
10000,30966,24028,37976,75555,pre
10000,30966,24028,37976,75555,pre
10000,30966,24028,37976,75555,pre
10000,10002,24276,37720,75507,pre
10000,10002,24276,37720,75507,pre
10000,10002,24297,37757,75508,pre
10000,10002,24276,37720,75507,pre
10000,10002,24297,37757,75508,pre
10000,10002,24276,37720,75507,pre
10000,10002,24268,37678,75309,pre
10000,21033,24727,37107,75082,pre
10000,21033,24727,37107,75082,pre
10000,100012,25052,37489,74706,pre
10000,100012,25052,37489,74706,pre
10000,100012,25052,37489,74706,pre
10000,100012,25052,37489,74706,pre
10000,100013,25045,37584,74430,pre
10000,100013,25045,37584,74430,pre
10000,10002,23953,37453,74573,pre
10000,100013,25045,37584,74430,pre
10000,100012,24945,37022,73951,pre
10000,100012,24945,37022,73951,pre
10000,100012,24945,37022,73951,pre
10000,100012,24945,37022,73951,pre
10000,100012,24945,37022,73951,pre
10000,100012,24945,37022,73951,pre
10000,10002,24218,37016,74005,pre
10000,37477,24218,37016,74005,pre
10000,10002,24218,37016,74005,pre
10000,37477,24218,37016,74005,pre
10000,38210,24973,36687,74100,pre
10000,38210,24973,36687,74100,pre
10000,38210,24973,36687,74100,pre
10000,38210,24973,36687,74100,pre
10000,100012,24945,37022,73951,pre
10000,100012,24874,36381,73208,pre
10000,17105,24903,37198,73133,pre
10000,17105,24903,37198,73133,pre
10000,17105,24903,37198,73133,pre
10000,17105,24903,37198,73133,pre
10000,17105,24903,37198,73133,pre
10000,17105,24903,37198,73133,pre
10000,100012,24874,36381,73208,pre
10000,100012,24874,36381,73208,pre
10000,100012,24874,36381,73208,pre
10000,100012,24874,36381,73208,pre
10000,100012,24699,35928,71910,pre
10000,100012,24699,35928,71910,pre
10000,100012,24699,35928,71910,pre
10000,100012,24699,35928,71910,pre
10000,100012,24699,35928,71910,pre
10000,26756,24783,35952,71356,pre
10000,26756,24850,35958,71367,pre
10000,26756,24850,35958,71367,pre
10000,18446,24791,36052,71275,pre
10000,30922,23963,36573,71069,pre
10000,30922,23963,36573,71069,pre
10000,30922,23963,36573,71069,pre
10000,30922,23963,36573,71069,pre
10000,53197,23714,36085,70671,pre
10000,53197,23714,36085,70671,pre
10000,42200,23690,36075,70498,pre
10000,42200,23690,36075,70498,pre
10000,42200,23690,36075,70498,pre
10000,42200,23690,36075,70498,pre
10000,12319,24884,35554,68329,pre
10000,12319,24884,35554,68329,pre
10000,12319,24884,35554,68329,pre
10000,19367,24039,35859,68193,pre
10000,19367,24039,35859,68193,pre
10000,19367,24039,35859,68193,pre
10000,19367,24039,35859,68193,pre
10000,10634,24446,36304,67943,pre
10000,10634,24446,36304,67943,pre
10000,10634,24446,36304,67943,pre
10000,10634,24446,36304,67943,pre
10000,10634,24446,36304,67943,pre
10000,11164,24855,35727,67899,pre
10000,11164,24855,35727,67899,pre
10000,32317,24980,35733,66943,pre
10000,32317,24980,35733,66943,pre
10000,32317,24980,35733,66943,pre
10000,32317,24980,35733,66943,pre
10000,11997,23674,36084,65972,pre
10000,11997,23674,36084,65972,pre
10000,11997,23674,36084,65972,pre
10000,24060,23752,35875,65948,pre
10000,24060,23752,35875,65948,pre
10000,11145,25155,35774,65046,pre
10000,12539,24091,35744,65395,pre
10000,12539,24091,35744,65395,pre
10000,12539,24091,35744,65395,pre
10000,12539,24091,35744,65395,pre
10000,12539,24091,35744,65395,pre
10000,11145,25155,35774,65046,pre
10000,11145,25155,35774,65046,pre
10000,12914,23761,35768,65019,pre
10000,24060,23761,35768,65019,pre
10000,12914,23761,35768,65019,pre
10000,24060,23761,35768,65019,pre
10000,12914,23761,35768,65019,pre
10000,24060,23761,35768,65019,pre
10000,12914,23761,35768,65019,pre
10000,24060,23761,35768,65019,pre
10000,18814,23811,35758,64673,pre
10000,18814,23811,35758,64673,pre
10000,10751,25142,35038,61950,pre
10000,10751,25142,35038,61950,pre
10000,10634,25232,34985,60758,pre
10000,24821,25232,34985,60758,pre
10000,166490,25481,34407,60184,pre
10000,166490,25405,34277,60379,pre
10000,25786,25405,34277,60379,pre
10000,166490,25405,34277,60379,pre
10000,25786,25405,34277,60379,pre
10000,24821,25271,34537,60099,pre
10000,10221,24691,33647,57773,pre
10000,10221,24691,33647,57773,pre
10000,10221,24691,33647,57773,pre
10000,31148,24905,33381,57655,pre
10000,16900,24905,33381,57655,pre
10000,10241,24453,33593,57862,pre
10000,10241,24453,33593,57862,pre
10000,46187934218,24240,33270,57668,pre
10000,46187934218,24240,33270,57668,pre
10000,10758,24645,33323,57539,pre
10000,18321,24645,33323,57539,pre
10000,10758,24645,33323,57539,pre
10000,18321,24645,33323,57539,pre
10000,10758,24645,33323,57539,pre
10000,18321,24645,33323,57539,pre
10000,46187934218,24240,33270,57668,pre
10000,46187934218,24240,33270,57668,pre
10000,24038,24648,32968,57088,pre
10000,10641,24648,32968,57088,pre
10000,17889,24648,32968,57088,pre
10000,24038,24648,32968,57088,pre
10000,10641,24648,32968,57088,pre
10000,17889,24648,32968,57088,pre
10000,10221,24691,33647,57773,pre
10000,24038,24648,32968,57088,pre
10000,10641,24648,32968,57088,pre
10000,17889,24648,32968,57088,pre
10000,16900,24804,32837,56956,pre
10000,11483,24713,32709,56460,pre
10000,152261,24713,32709,56460,pre
10000,10758,24713,32709,56460,pre
10000,10950,24713,32709,56460,pre
10000,11483,24713,32709,56460,pre
10000,152261,24713,32709,56460,pre
10000,10758,24713,32709,56460,pre
10000,10950,24713,32709,56460,pre
10000,21041,24621,32529,56205,pre
10000,19358,24621,32529,56205,pre
10000,10950,24621,32529,56205,pre
10000,21041,24524,32559,56313,pre
10000,10603,24524,32559,56313,pre
10000,11483,24713,32709,56460,pre
10000,152261,24713,32709,56460,pre
10000,10758,24713,32709,56460,pre
10000,10950,24713,32709,56460,pre
10000,11483,24713,32709,56460,pre
10000,152261,24713,32709,56460,pre
10000,10758,24713,32709,56460,pre
10000,10950,24713,32709,56460,pre
10000,11084,24479,32442,55981,pre
10000,11948,24479,32442,55981,pre
10000,18489,24479,32442,55981,pre
10000,10950,24479,32442,55981,pre
10000,11084,24608,32393,55870,pre
10000,22275,24608,32393,55870,pre
10000,11084,24608,32393,55870,pre
10000,22275,24608,32393,55870,pre
10000,22275,24444,30857,52399,pre
10000,41705,24444,30857,52399,pre
10000,10989,24271,30661,52139,pre
10000,10860,24271,30661,52139,pre
10000,11932,24271,30661,52139,pre
10000,10989,24252,30654,52157,pre
10000,10860,24252,30654,52157,pre
10000,11932,24252,30654,52157,pre
10000,10989,24271,30661,52139,pre
10000,10860,24271,30661,52139,pre
10000,11932,24271,30661,52139,pre
10000,10989,24271,30661,52139,pre
10000,10860,24271,30661,52139,pre
10000,11932,24271,30661,52139,pre
10000,10989,24252,30654,52157,pre
10000,10860,24252,30654,52157,pre
