x,y,z,type,bodyId_post
22913,30319,51685,post,
23290,29678,46439,post,
23479,29400,50024,post,
23421,29838,50333,post,
23152,29348,52642,post,
23111,29357,52631,post,
23154,29346,52640,post,
23086,29358,52626,post,
21307,30163,40390,post,
20671,29732,39854,post,
20575,29573,39577,post,
20541,29556,39600,post,
20506,29526,39581,post,
20540,29551,39574,post,
20451,29498,39607,post,
21352,30171,40173,post,
21336,30153,40143,post,
21232,30133,40274,post,
21291,30166,40243,post,
21252,30148,40265,post,
20359,29355,39532,post,
20332,29344,39531,post,
20305,29277,39426,post,
20337,29302,39392,post,
20284,29258,39392,post,
20256,29254,39374,post,
22743,30606,41658,post,
22770,30615,41645,post,
22783,30603,41641,post,
23070,31519,54852,post,
23134,30839,53417,post,
23158,30486,52331,post,
23594,38831,78794,post,
23538,38758,78721,post,
23596,38785,78730,post,
23522,38760,78732,post,
23414,38742,78746,post,
23364,38732,78761,post,
23543,38695,78615,post,
23541,38675,78595,post,
23314,38652,78623,post,
23310,38230,78000,post,
22744,29157,46468,post,
22769,29323,46559,post,
22770,29376,46374,post,
22765,29300,46671,post,
22755,29274,46650,post,
22769,29381,46330,post,
22727,29198,46246,post,
22732,29225,46242,post,
22622,28562,45170,post,
22078,30379,41459,post,
23176,35980,73559,post,
23126,41442,81589,post,
23747,40651,81198,post,
24205,40749,80973,post,
24153,39625,79564,post,
23448,39053,79300,post,
23398,28616,44695,post,
23337,28611,44711,post,
23313,28615,44696,post,
23359,28606,44707,post,
23378,28638,44675,post,
23339,28642,44665,post,
22616,29638,44571,post,
22586,29367,44597,post,
24053,29295,43467,post,
20749,28795,39681,post,
20872,28877,39641,post,
20814,28844,39667,post,
20779,28817,39651,post,
20834,28869,39550,post,
20824,28843,39604,post,
20815,28850,39546,post,
20994,29406,40294,post,
21002,29370,40275,post,
21053,29320,40237,post,
21032,29290,40197,post,
20915,29280,40223,post,
23072,28806,44736,post,
22636,29133,44649,post,
23433,29475,45072,post,
23544,29137,44918,post,
23503,29291,45062,post,
23220,29392,43407,post,
23043,29167,43485,post,
23261,29634,43178,post,
20584,28752,39994,post,
20609,28730,40011,post,
23127,34670,65021,post,
23156,34675,65002,post,
20123,28436,39423,post,
20135,28460,39538,post,
20090,28425,39431,post,
20053,28411,39434,post,
23448,29022,44358,post,
23453,29007,44335,post,
23453,29007,44301,post,
23425,29004,44334,post,
