x,y,z,type,bodyId_post
24155,35997,46672,post,
24126,35992,46656,post,
24098,36017,46565,post,
24060,35990,46547,post,
25866,38009,47005,post,
23060,33485,44840,post,
23089,33491,44811,post,
24451,36419,47713,post,
24430,36469,47705,post,
14254,17730,45232,post,
14339,17802,45185,post,
14257,17718,45196,post,
14330,17821,45163,post,
14310,17807,45115,post,
14309,17766,45114,post,
23901,31988,41594,post,
23892,31959,41592,post,
23830,31342,41585,post,
23827,31336,41585,post,
23835,31293,41496,post,
24035,34263,44289,post,
24698,34955,44777,post,
24295,33502,44545,post,
24432,33925,44293,post,
23640,30890,44082,post,
23708,31397,43851,post,
23745,31401,43835,post,
26192,35370,43719,post,
24112,33313,43851,post,
24097,33262,43816,post,
23523,32537,43776,post,
23541,32565,43745,post,
24383,30488,40153,post,
24371,30495,40152,post,
24357,30464,40136,post,
24657,33590,35367,post,
24828,32456,35661,post,
24798,32414,35632,post,
17476,20947,48395,post,
17509,20960,48391,post,
17473,20976,48388,post,
17384,21013,48342,post,
24877,33603,44374,post,
23597,32329,40110,post,
23506,32380,40003,post,
23456,32393,39946,post,
24094,32175,39843,post,
25831,36484,45655,post,
25728,36429,45686,post,
25732,36418,45690,post,
25853,36382,45614,post,
24974,32757,35711,post,
25960,35728,45456,post,
25946,35045,45263,post,
25976,35022,45205,post,
25985,34998,45206,post,
25983,34946,45320,post,
23433,31799,42449,post,
23449,31812,42435,post,
23453,31804,42410,post,
24616,36054,46896,post,
23146,31008,42725,post,
25633,35292,44369,post,
25691,35333,44430,post,
25696,35327,44401,post,
24414,37034,47367,post,
25331,37563,47275,post,
25543,37431,46867,post,
24161,36411,47972,post,
23790,35827,46478,post,
25346,37667,47289,post,
23780,35697,46391,post,
24410,37180,47291,post,
24073,34530,45699,post,
25979,36427,45327,post,
25374,35065,44231,post,
26266,36002,45171,post,
23842,34839,44170,post,
26598,36162,45787,post,
23955,35558,46352,post,
23879,34411,45452,post,
26250,35483,43921,post,
26306,35530,43829,post,
24267,34818,44895,post,
24289,34699,44716,post,
25426,35126,44499,post,
25663,35252,44266,post,
24286,33232,41152,post,
24311,33253,41061,post,
26543,34648,41037,post,
23295,32431,39692,post,
23918,32068,38055,post,
24534,32510,36223,post,
23687,31691,41867,post,
23629,31524,39179,post,
23986,31686,38888,post,
24142,31688,38829,post,
24053,31627,38794,post,
20113,22770,47727,post,
19887,22724,47617,post,
19780,22758,47606,post,
19796,22741,47609,post,
23592,31263,42011,post,
23727,31525,40628,post,
23413,31210,42426,post,
25497,37395,46879,post,
26345,37999,47060,post,
26073,37923,47067,post,
24024,35616,46439,post,
24026,35640,46423,post,
24995,36049,46950,post,
25021,36024,46913,post,
25034,36076,46904,post,
24036,36086,46698,post,
23950,36035,46630,post,
23857,35937,46596,post,
24761,36647,46654,post,
23824,35603,46299,post,
23792,35588,46298,post,
23816,35546,46267,post,
23856,35551,46260,post,
23839,35471,46188,post,
23802,35449,46209,post,
23549,33582,44721,post,
23577,33548,44697,post,
24048,35576,46340,post,
23826,35949,46572,post,
24535,34745,44972,post,
24568,34749,44963,post,
24515,34733,44939,post,
24542,34736,44932,post,
24352,34699,44902,post,
23833,34283,45358,post,
23863,34449,45359,post,
23884,34416,45388,post,
23872,34378,45370,post,
25019,35060,44750,post,
25000,35051,44757,post,
24996,35037,44720,post,
25022,35050,44730,post,
25434,35131,44509,post,
23789,34508,44748,post,
25537,35133,44320,post,
25844,35421,45345,post,
25999,34974,45319,post,
25928,35378,45307,post,
26009,34981,45332,post,
26013,34941,45359,post,
26065,35200,45079,post,
24579,33251,40308,post,
25144,33576,39880,post,
25119,33514,39889,post,
24895,33456,39915,post,
24729,33410,39935,post,
24565,33293,39873,post,
25127,33490,39888,post,
24675,33384,39819,post,
24972,33327,39841,post,
24764,33417,39764,post,
24889,33253,39796,post,
24547,33314,40103,post,
24893,33435,39997,post,
24729,33253,40064,post,
24748,33174,40087,post,
24733,33186,40078,post,
24740,33200,40059,post,
25247,32589,36361,post,
25128,32584,36561,post,
25571,35161,44920,post,
23954,34384,44699,post,
23597,31183,42069,post,
23394,32583,40427,post,
23880,35811,47165,post,
23894,35792,47157,post,
23924,35769,47156,post,
24004,35971,46950,post,
23920,32712,43623,post,
24157,33223,43813,post,
24670,32470,41298,post,
24634,32396,41220,post,
23916,31193,41314,post,
23917,31219,41300,post,
24838,32454,35614,post,
24834,32492,35612,post,
23799,31574,44010,post,
23886,35581,45715,post,
23751,32088,43915,post,
26095,35516,44262,post,
23630,34291,45066,post,
24016,35687,45840,post,
24278,34710,44715,post,
24141,34613,44689,post,
25467,35299,44415,post,
25569,35290,44396,post,
25491,35196,44368,post,
25446,35190,44414,post,
24162,33738,42065,post,
25765,35374,44374,post,
25866,35403,44349,post,
24018,32460,41610,post,
23945,32490,41528,post,
23942,32507,41535,post,
23936,32344,41516,post,
26483,35104,40820,post,
23774,31461,40947,post,
23738,31487,40898,post,
24714,32342,41206,post,
24100,32391,41458,post,
23849,32394,41446,post,
24091,32365,41450,post,
24378,33517,41845,post,
24614,32499,41322,post,
24744,32345,41265,post,
24409,33314,41849,post,
24426,33290,41812,post,
24672,32374,41217,post,
24632,32674,41622,post,
26627,34654,41039,post,
26605,34691,40986,post,
26612,34562,41122,post,
26474,34998,40899,post,
23601,31853,39365,post,
26474,35051,40839,post,
24179,32160,37426,post,
24629,32144,36191,post,
24596,32204,36134,post,
23920,31784,37795,post,
23917,31786,37795,post,
23804,32058,37103,post,
23987,36204,46919,post,
24000,36197,46960,post,
24361,33985,44275,post,
24344,34000,44267,post,
23727,31712,39738,post,
23728,31656,39782,post,
24679,33010,35708,post,
23763,31527,43939,post,
23830,31902,41704,post,
23843,31834,41669,post,
23842,31836,41489,post,
23872,31797,41492,post,
23802,31194,41636,post,
23795,31133,41641,post,
23829,31202,41561,post,
23831,31179,41535,post,
23805,31124,41606,post,
23804,31145,41558,post,
23812,31856,41736,post,
25163,34061,41050,post,
25217,34075,41050,post,
23997,31225,41035,post,
23956,31213,41121,post,
24180,31560,40827,post,
23995,31190,41045,post,
24029,31181,40990,post,
23618,31419,42235,post,
23651,31379,42233,post,
25235,34039,41020,post,
25210,34045,41023,post,
24243,31514,40671,post,
24795,30500,39948,post,
24777,30457,39954,post,
23659,31337,42266,post,
23869,31870,40427,post,
23949,31846,40220,post,
23886,31844,40239,post,
23851,31848,40210,post,
23916,31886,41443,post,
23948,31947,41402,post,
23892,31834,41447,post,
23891,31795,41470,post,
23944,31973,41377,post,
25061,33294,40107,post,
25058,33315,40084,post,
25083,33403,40054,post,
25096,33382,40012,post,
25207,33908,40965,post,
23846,31137,41359,post,
23812,31171,41326,post,
23875,31118,41318,post,
23889,31827,38708,post,
23934,31819,38703,post,
23851,31845,38693,post,
23895,31802,40596,post,
23839,31874,40526,post,
23928,31822,40520,post,
23924,31818,40566,post,
23841,31823,40573,post,
23846,31898,40480,post,
23863,31851,40518,post,
23895,31836,40462,post,
23964,31875,39402,post,
23958,31907,39487,post,
23982,31874,39480,post,
23996,31839,39428,post,
23934,31852,40170,post,
23893,31851,40127,post,
23856,31844,40161,post,
24207,31469,40598,post,
24198,31480,40584,post,
24850,30490,39886,post,
25208,30446,39539,post,
24822,30451,39911,post,
24549,30214,39873,post,
23330,32055,39991,post,
23950,31818,38649,post,
23840,31858,38655,post,
23834,31878,38598,post,
23939,31822,38640,post,
23917,31837,38597,post,
25169,30522,39597,post,
25160,30501,39597,post,
25256,30540,39524,post,
25231,30503,39535,post,
23877,31859,38579,post,
25317,30359,39389,post,
22726,30215,43407,post,
22687,30219,43372,post,
25437,37387,46909,post,
25342,37091,46733,post,
25081,36966,46787,post,
25347,37050,46701,post,
25823,37929,47148,post,
25814,36262,45406,post,
25863,36282,45361,post,
25721,37528,46766,post,
25767,37514,46717,post,
23709,35192,46219,post,
23712,35233,46204,post,
23708,35181,46179,post,
23769,31707,44185,post,
23677,31644,44214,post,
25977,35861,45327,post,
25976,35834,45327,post,
24487,34102,45123,post,
24339,33942,44329,post,
24294,33952,44345,post,
24823,34402,44489,post,
23765,34528,45491,post,
23786,34499,45521,post,
25706,35366,45113,post,
23781,34604,45561,post,
23756,34605,45522,post,
23775,34609,45787,post,
23805,34624,45736,post,
23817,34635,45702,post,
23786,34695,45668,post,
24967,34955,45000,post,
23585,31347,42218,post,
23588,31346,42165,post,
23592,31283,42164,post,
23580,31277,42262,post,
24445,33145,40747,post,
24612,34384,40599,post,
25947,34663,41313,post,
25986,34754,41293,post,
24243,33437,41288,post,
24188,33609,41255,post,
25761,34733,40946,post,
25923,34730,41019,post,
25715,34696,40960,post,
24443,33175,40758,post,
23943,31879,37227,post,
24396,31927,36014,post,
24468,32718,36129,post,
24458,32748,36158,post,
24869,33499,35565,post,
26332,37940,47011,post,
26335,37918,46982,post,
26264,37909,47006,post,
24456,36884,47860,post,
25025,36694,46693,post,
24228,36927,47707,post,
26054,36188,45367,post,
26039,36197,45350,post,
24183,33426,44815,post,
24162,33383,44834,post,
26063,36083,45258,post,
26656,35165,43560,post,
26651,35161,43560,post,
26628,35187,43573,post,
26389,36513,45533,post,
23585,32870,44175,post,
23572,32846,44142,post,
24392,33100,41057,post,
24386,33090,41060,post,
24378,33082,41058,post,
24364,33061,41052,post,
24286,32822,40990,post,
23358,33108,40882,post,
23362,33063,40891,post,
23353,33105,40880,post,
25999,35648,43806,post,
25990,35604,43805,post,
25600,37946,47470,post,
25666,37968,47444,post,
25634,37935,47470,post,
26017,37959,47012,post,
23630,32967,44298,post,
24375,33233,41086,post,
23845,33336,41470,post,
23805,33131,41533,post,
24781,32519,41643,post,
24673,35718,44687,post,
25870,36570,45169,post,
23882,33651,44773,post,
25975,36518,45036,post,
23955,35262,46169,post,
23962,35260,46145,post,
23962,35023,46283,post,
26456,35378,44260,post,
24790,34395,44517,post,
26332,35365,43761,post,
24551,34114,44983,post,
24178,35698,45863,post,
26418,35267,43758,post,
26293,35259,43735,post,
26296,35296,43725,post,
26275,35376,43779,post,
24264,35313,44599,post,
24267,34881,45023,post,
24254,34856,45014,post,
24291,34810,44979,post,
24321,34846,44926,post,
25399,35269,44491,post,
25406,35255,44484,post,
25395,35261,44489,post,
25415,35197,44493,post,
25320,35174,44428,post,
26432,35409,44305,post,
23907,33126,40759,post,
24895,33851,41011,post,
25162,33957,40992,post,
24462,34435,40526,post,
24475,34426,40526,post,
25234,33852,40973,post,
24402,34419,40495,post,
24039,32164,41006,post,
24619,34791,40579,post,
24564,34779,40554,post,
24575,34789,40567,post,
24558,34758,40560,post,
26110,34935,40663,post,
26112,34937,40665,post,
23485,32556,39932,post,
26163,34875,40638,post,
24101,33091,40612,post,
24119,33082,40599,post,
26427,34654,41015,post,
26452,34629,40972,post,
23732,31987,38701,post,
23773,32028,39410,post,
23770,32021,39375,post,
24479,32981,40508,post,
24470,32978,40493,post,
24498,32992,40496,post,
23651,31789,39195,post,
23645,31779,39196,post,
23923,33227,40815,post,
24062,33129,40803,post,
23931,33052,40808,post,
23931,33060,40807,post,
23706,31754,39093,post,
23659,31746,39037,post,
24349,31705,36099,post,
24312,31802,36098,post,
23953,31755,37154,post,
23796,32372,36981,post,
23792,32379,36974,post,
23793,32379,36974,post,
23690,32182,37046,post,
23699,32152,37041,post,
23850,32100,37044,post,
23859,32122,37029,post,
24426,31880,35982,post,
24420,31885,35968,post,
25270,32275,36047,post,
25368,32266,36013,post,
25347,32150,35971,post,
25400,32099,35877,post,
25328,32084,35878,post,
23794,31796,38388,post,
23778,31790,38362,post,
23598,34440,44846,post,
23611,34454,44827,post,
23861,34018,45139,post,
23834,34027,45102,post,
23643,34699,44726,post,
23454,32180,41585,post,
23844,33317,41454,post,
23808,33315,41407,post,
23636,31865,39373,post,
23605,31876,39373,post,
23652,31909,39300,post,
23512,32133,40174,post,
23710,31701,39144,post,
23813,31672,40070,post,
23834,31712,39955,post,
