pre_id,post_id,x,y,z,type
10074,169914,28131.0,23682.0,46735.0,pre
10074,169914,28116.0,23670.0,46716.0,pre
10074,169914,27972.0,23479.0,46709.0,pre
10074,164672,27353.0,23213.0,47061.0,pre
10074,164672,27277.0,23173.0,47246.0,pre
10074,164672,27365.0,23151.0,47253.0,pre
10074,162240,28131.0,23682.0,46735.0,pre
10074,162240,28116.0,23670.0,46716.0,pre
10074,162240,27353.0,23213.0,47061.0,pre
10074,155485,21287.0,21378.0,47045.0,pre
10074,152941,21313.0,21308.0,47066.0,pre
10074,152388,30105.0,23668.0,45883.0,pre
10074,101206,21317.0,21315.0,47097.0,pre
10074,46693,20670.0,20972.0,49201.0,pre
10074,46693,20551.0,20918.0,49157.0,pre
10074,25264,19550.0,23380.0,50761.0,pre
10074,22584,28092.0,23549.0,46728.0,pre
10074,22584,28090.0,23546.0,46701.0,pre
10074,22584,28054.0,23540.0,46677.0,pre
10074,22584,27972.0,23479.0,46709.0,pre
10074,22584,27353.0,23213.0,47061.0,pre
10074,21946,19842.0,23228.0,51255.0,pre
10074,21307,21317.0,21315.0,47097.0,pre
10074,18927,20204.0,22373.0,49637.0,pre
10074,18694,21317.0,21315.0,47097.0,pre
10074,18544,30105.0,23668.0,45883.0,pre
10074,18309,28131.0,23682.0,46735.0,pre
10074,18309,28116.0,23670.0,46716.0,pre
10074,18309,28090.0,23546.0,46701.0,pre
10074,18309,28054.0,23540.0,46677.0,pre
10074,18309,27991.0,23434.0,46602.0,pre
10074,18309,27365.0,23151.0,47253.0,pre
10074,18309,27266.0,23154.0,47230.0,pre
10074,18309,27273.0,23137.0,47210.0,pre
10074,18109,27353.0,23213.0,47061.0,pre
10074,17820,20005.0,20557.0,46033.0,pre
10074,17656,30105.0,23668.0,45883.0,pre
10074,17561,20204.0,22373.0,49637.0,pre
10074,16851,28054.0,23540.0,46677.0,pre
10074,16127,27277.0,23173.0,47246.0,pre
10074,15493,19980.0,20554.0,46023.0,pre
10074,14551,21317.0,21315.0,47097.0,pre
10074,14317,21287.0,21378.0,47045.0,pre
10074,14017,21287.0,21378.0,47045.0,pre
10074,14017,21313.0,21308.0,47066.0,pre
10074,14017,20005.0,20557.0,46033.0,pre
10074,14017,19980.0,20554.0,46023.0,pre
10074,13859,27940.0,23427.0,46605.0,pre
10074,13859,27960.0,23429.0,46579.0,pre
10074,13061,20204.0,22373.0,49637.0,pre
10074,11446,35856.0,24311.0,44422.0,pre
10074,11446,35869.0,24302.0,44400.0,pre
10074,11446,35711.0,24215.0,45246.0,pre
10074,11446,36096.0,23642.0,43909.0,pre
10074,11446,35731.0,24367.0,44884.0,pre
10074,11446,35718.0,24246.0,45020.0,pre
10074,11446,36085.0,22775.0,43465.0,pre
10074,11446,36190.0,21982.0,43237.0,pre
10074,11446,36175.0,21930.0,43221.0,pre
10074,10775,27277.0,23173.0,47246.0,pre
10074,10592,28054.0,23540.0,46677.0,pre
10074,10592,27991.0,23434.0,46602.0,pre
10074,10592,27960.0,23429.0,46579.0,pre
10074,10589,28131.0,23682.0,46735.0,pre
10074,10589,28116.0,23670.0,46716.0,pre
10074,10589,27365.0,23151.0,47253.0,pre
10074,10589,27273.0,23137.0,47210.0,pre
10074,10589,27960.0,23429.0,46579.0,pre
10074,10361,28092.0,23549.0,46728.0,pre
10074,10361,27991.0,23434.0,46602.0,pre
10074,10361,27940.0,23427.0,46605.0,pre
10074,10361,27960.0,23429.0,46579.0,pre
10074,10088,20204.0,22373.0,49637.0,pre
10074,10088,28092.0,23549.0,46728.0,pre
10074,10088,28090.0,23546.0,46701.0,pre
40800261312,10074,25005.0,25706.0,50883.0,post
35865548817,10074,25687.0,23743.0,45442.0,post
35865548817,10074,25716.0,23798.0,45193.0,post
35854741995,10074,23833.0,22328.0,45274.0,post
35854741995,10074,23832.0,22313.0,45277.0,post
35854741995,10074,23520.0,22486.0,45160.0,post
35854741995,10074,23529.0,22482.0,45154.0,post
35854741995,10074,23773.0,22350.0,45184.0,post
35851242614,10074,24574.0,22377.0,45524.0,post
38324412437,10074,29482.0,24292.0,48273.0,post
38324412437,10074,29366.0,24280.0,48316.0,post
38324412437,10074,29327.0,24256.0,48192.0,post
38324412437,10074,29416.0,24265.0,48161.0,post
38324412437,10074,29464.0,23603.0,48060.0,post
38324412437,10074,29424.0,23518.0,47963.0,post
38324372607,10074,29348.0,23662.0,47917.0,post
38324372607,10074,29387.0,23612.0,47706.0,post
38323872473,10074,22601.0,24472.0,48760.0,post
38309877483,10074,24343.0,21562.0,48286.0,post
38305942389,10074,19393.0,21363.0,48356.0,post
38305942389,10074,19397.0,21322.0,48318.0,post
37503549962,10074,27693.0,23552.0,47311.0,post
37503160409,10074,22061.0,23320.0,47266.0,post
35455551488,10074,30747.0,24032.0,44412.0,post
35455551488,10074,30709.0,24021.0,44368.0,post
35455551488,10074,30845.0,23965.0,44430.0,post
35455551488,10074,30777.0,23906.0,44320.0,post
35455551488,10074,30363.0,23775.0,44515.0,post
35455551488,10074,30370.0,23775.0,44580.0,post
37499929433,10074,27129.0,23538.0,47378.0,post
37499929433,10074,26914.0,23223.0,47077.0,post
37499929433,10074,27017.0,23234.0,46994.0,post
37499929433,10074,27103.0,23616.0,47326.0,post
37492542804,10074,22385.0,21910.0,47030.0,post
35448240666,10074,28039.0,23857.0,46415.0,post
35447964585,10074,24107.0,23109.0,44742.0,post
35447964585,10074,23992.0,23157.0,44481.0,post
