x,y,z,type,bodyId_post
21262,20063,44350,post,
21298,20003,44281,post,
24208,25790,51196,post,
24225,25809,51180,post,
19612,22596,48986,post,
24795,22552,45450,post,
16351,21562,46027,post,
16398,21583,45996,post,
29298,23641,47838,post,
22613,24463,48760,post,
21502,22175,48377,post,
21481,22084,48310,post,
21470,22077,48273,post,
21456,22079,48278,post,
21104,21865,48017,post,
21062,21809,48056,post,
24331,21572,48276,post,
19216,21026,48135,post,
19122,21009,48095,post,
19498,21419,48592,post,
19484,21413,48586,post,
22386,21740,46985,post,
19585,23097,47268,post,
19586,23097,47242,post,
28037,23849,46388,post,
28094,23868,46361,post,
24124,23078,44742,post,
24002,23217,44593,post,
24242,23059,44817,post,
19905,20269,47899,post,
25858,21113,44651,post,
25860,21102,44645,post,
22890,20266,44525,post,
22893,20266,44520,post,
23010,20328,44452,post,
19409,20665,44266,post,
15748,24259,46141,post,
15771,24301,46011,post,
27312,23753,46579,post,
27308,23753,46575,post,
27145,23709,46550,post,
27205,23729,46529,post,
27371,23822,46457,post,
25397,20920,46228,post,
25418,21009,46287,post,
25344,20692,46239,post,
24435,20957,44374,post,
24416,23106,44235,post,
25315,22801,43578,post,
20399,22205,48907,post,
20395,22220,48909,post,
20493,22386,48860,post,
21355,22202,48349,post,
21360,22226,48262,post,
26849,24367,47762,post,
26934,24282,47806,post,
16371,24340,47590,post,
16382,24316,47559,post,
23980,22769,47703,post,
24970,21866,47622,post,
24947,21791,47583,post,
19462,21062,47358,post,
19464,21049,47396,post,
16383,24190,46758,post,
16374,24220,46752,post,
27342,23877,46635,post,
27362,23793,46834,post,
26712,23843,46671,post,
26734,23808,46647,post,
26691,23774,46616,post,
26554,23722,46461,post,
24474,23531,46852,post,
23769,22964,47050,post,
25057,23748,45748,post,
25038,23731,45690,post,
25271,22743,46025,post,
22525,22049,47100,post,
22503,21981,47094,post,
16425,22018,46449,post,
16207,22256,46433,post,
25462,21295,46572,post,
20261,20222,46954,post,
20276,20212,46929,post,
20818,20676,44202,post,
20824,20675,44200,post,
20824,20690,43705,post,
28517,22970,47429,post,
28444,22988,47391,post,
27417,23353,47528,post,
27494,23369,47463,post,
28319,23127,47485,post,
28321,23138,47485,post,
25752,19033,43991,post,
25649,18971,44034,post,
25693,19004,44029,post,
25825,19658,43860,post,
24574,19292,43942,post,
25893,19692,43772,post,
25807,19645,43767,post,
25345,23487,48144,post,
25343,23480,48143,post,
25346,23480,48137,post,
25235,23364,48101,post,
19650,22721,47629,post,
18872,23817,48693,post,
20248,21066,48206,post,
21676,21711,48244,post,
20303,20980,48164,post,
20352,20980,48182,post,
21072,21838,47892,post,
21059,21813,47874,post,
21754,21595,48103,post,
21119,21708,47982,post,
22010,22218,47982,post,
22115,22252,47854,post,
19634,21014,47131,post,
21003,20738,47321,post,
20984,20704,47164,post,
19934,20264,47841,post,
19147,20535,44998,post,
19081,20515,44854,post,
19569,21036,47061,post,
20640,20785,46057,post,
20632,20765,46027,post,
20709,20831,46010,post,
19068,20448,45096,post,
19802,20415,44286,post,
19795,20323,44260,post,
18983,20778,44881,post,
23722,22589,46184,post,
23695,22547,46140,post,
23272,22410,46096,post,
23537,22118,46323,post,
23412,22468,46061,post,
23487,22523,45848,post,
24051,22558,46042,post,
24073,22552,45929,post,
27051,24299,47849,post,
30221,24119,48202,post,
30419,24042,48103,post,
30431,24053,48091,post,
27757,24483,46689,post,
28496,24677,48012,post,
26759,24754,47163,post,
27122,24645,47377,post,
21417,23764,48742,post,
22236,24419,49271,post,
22150,24395,49287,post,
23421,25077,49364,post,
23368,25045,49388,post,
23702,24968,49413,post,
28316,24921,47427,post,
20623,22892,48344,post,
28891,24560,47280,post,
20539,23000,48298,post,
20060,22881,48218,post,
16565,23982,45699,post,
16575,23966,45633,post,
16477,24110,45661,post,
16018,22610,45780,post,
16001,22639,45729,post,
16671,21711,45754,post,
16668,21625,45664,post,
18405,20747,45982,post,
18473,20021,45207,post,
26155,23153,46473,post,
26151,23151,46474,post,
24343,22471,45855,post,
25276,23527,45012,post,
25584,23593,44726,post,
25696,23725,44626,post,
25704,23716,44615,post,
25602,23689,44599,post,
26181,20309,42714,post,
26194,20298,42685,post,
23548,25239,50006,post,
23519,25190,50020,post,
26656,25574,48858,post,
28100,25064,48071,post,
24387,25357,49847,post,
20481,23102,48503,post,
20468,23083,48491,post,
21587,24086,49230,post,
17039,24901,49473,post,
19851,21405,47181,post,
19875,21419,47162,post,
18892,20898,47635,post,
19042,20983,47521,post,
18972,20918,47593,post,
24212,22804,46629,post,
27101,24557,47543,post,
27076,24469,47503,post,
24129,22689,46645,post,
24155,22705,46649,post,
24092,22664,46653,post,
22355,22201,47169,post,
21271,22052,47024,post,
21300,22028,46975,post,
24244,22838,46455,post,
19194,22745,49489,post,
17795,23868,48839,post,
18794,23574,48803,post,
19384,20934,48336,post,
19567,20794,48343,post,
19379,20942,48314,post,
17725,23024,48038,post,
17249,24327,49292,post,
17147,24272,49285,post,
17138,24284,49271,post,
28186,23016,47556,post,
21260,21521,47677,post,
21242,21500,47694,post,
19842,20174,47337,post,
19863,20195,47172,post,
19990,20276,47756,post,
19975,20282,47746,post,
15667,24850,46770,post,
19966,20273,47611,post,
19898,20102,47438,post,
19572,20178,46444,post,
19510,20229,46357,post,
21885,22448,48265,post,
20674,21804,48235,post,
20871,21901,48156,post,
15941,23583,46983,post,
27913,23503,47881,post,
17675,23085,48071,post,
15487,23138,46017,post,
19498,20169,46254,post,
15852,22430,46549,post,
15740,22308,46372,post,
24663,22172,48116,post,
24610,22068,48129,post,
24353,22827,46744,post,
25507,23136,46385,post,
25654,23364,48457,post,
25326,23400,48474,post,
25322,23394,48440,post,
18825,23734,48859,post,
18852,23655,48794,post,
18843,23720,48744,post,
18830,23523,48721,post,
19621,22775,48663,post,
19599,22763,48682,post,
18339,23751,48567,post,
18409,23692,48570,post,
18802,23519,48517,post,
19448,22902,48632,post,
19315,22968,48577,post,
20267,22806,48511,post,
19244,22886,48428,post,
19278,22883,48418,post,
19281,22880,48416,post,
20320,22817,48403,post,
20227,22487,48492,post,
17748,23808,48291,post,
17870,23676,48335,post,
17747,23807,48290,post,
18558,23639,48240,post,
18626,23576,48226,post,
18776,23593,48170,post,
20220,22581,48383,post,
20208,22851,48286,post,
18532,23623,48121,post,
17975,23674,48080,post,
18139,23592,48088,post,
18091,23626,48054,post,
16246,24015,45840,post,
24853,25954,50981,post,
23955,25978,50705,post,
24855,25954,50977,post,
24753,25928,50988,post,
23202,25390,50054,post,
23998,26002,50677,post,
24718,23285,47702,post,
25047,22686,47575,post,
25066,22670,47553,post,
24688,22651,47551,post,
24665,22684,47535,post,
25073,22648,47535,post,
24692,22639,47550,post,
24721,22661,47481,post,
24723,22671,47482,post,
25081,22667,47438,post,
25874,23356,48380,post,
25148,23929,46642,post,
19097,20924,48165,post,
19092,20946,48160,post,
22973,24498,49251,post,
21033,21525,47916,post,
20002,23222,47683,post,
19996,23235,47665,post,
21831,22086,47761,post,
22514,24426,48552,post,
19780,21375,47197,post,
19279,21287,47873,post,
19785,21285,47146,post,
20526,22141,48611,post,
19972,22066,48544,post,
20552,22104,48450,post,
20550,22104,48450,post,
20063,22096,48502,post,
20447,22061,48454,post,
19945,21992,48553,post,
18126,20870,48623,post,
18018,20953,48560,post,
19161,20812,48515,post,
17940,20794,48552,post,
17941,20801,48454,post,
17961,20767,48473,post,
19097,20880,48457,post,
22492,23886,47460,post,
22492,23897,47464,post,
22516,23085,48054,post,
22507,23076,48043,post,
15569,22352,46225,post,
15639,22360,46212,post,
16227,23635,47601,post,
16193,21745,46112,post,
21954,22684,47381,post,
19770,21364,47059,post,
16260,21797,46044,post,
21198,20023,44557,post,
24472,19392,44661,post,
19204,20496,45253,post,
19198,20490,45211,post,
18288,21031,45190,post,
20896,20804,43621,post,
26320,23204,46787,post,
24866,23873,45711,post,
24874,23875,45709,post,
24851,23847,45732,post,
23522,21782,44875,post,
23522,21771,44877,post,
22567,24196,48846,post,
22573,24225,48964,post,
22571,24228,48961,post,
19412,22646,48931,post,
19407,22620,48931,post,
19568,22311,48978,post,
19786,21619,48352,post,
18999,21500,48951,post,
19057,21529,48243,post,
19454,21628,48906,post,
19711,21979,48876,post,
19663,21749,48830,post,
25015,22769,48030,post,
18858,23113,48487,post,
25677,22836,47836,post,
19575,22806,47836,post,
25701,22901,47800,post,
19513,22757,47840,post,
27187,23511,47385,post,
22305,21741,47249,post,
24813,21705,47345,post,
24708,21665,47320,post,
21207,21328,47725,post,
21188,21361,47711,post,
19205,21080,47227,post,
25008,22743,47398,post,
19292,20878,47320,post,
20868,20830,47254,post,
20781,20778,47147,post,
19029,22988,48445,post,
22249,22724,48497,post,
24898,21907,47581,post,
19872,21941,48524,post,
24888,24096,46613,post,
18543,21004,48582,post,
18594,21071,48491,post,
20689,21109,46431,post,
20617,21165,46359,post,
18689,20899,46423,post,
21933,22690,48341,post,
21923,22682,48335,post,
25157,24127,46264,post,
25268,22801,48353,post,
25875,24385,47165,post,
28370,23923,47475,post,
25826,24322,47160,post,
24692,24013,46329,post,
24678,23969,46327,post,
26495,24423,47127,post,
22770,23923,47397,post,
22663,23869,47374,post,
28315,23777,47716,post,
28315,23779,47712,post,
26146,24361,47012,post,
26037,24390,46914,post,
20677,21823,48251,post,
25903,24375,46917,post,
16179,22727,46150,post,
24651,23854,45641,post,
27143,21890,46758,post,
20921,21411,46736,post,
24254,23338,45762,post,
25661,21670,47067,post,
24360,23316,45702,post,
26210,21724,47017,post,
26442,21652,46994,post,
26189,21657,46979,post,
25436,24151,45985,post,
19731,20734,44852,post,
16441,22524,45963,post,
18661,20813,46317,post,
25895,22926,45808,post,
26018,23038,45778,post,
23698,23530,47144,post,
25770,19580,44995,post,
25785,19527,44887,post,
25745,19566,44809,post,
24205,23694,47176,post,
27135,21879,46866,post,
26815,21811,46895,post,
24484,22978,47249,post,
25335,22852,46037,post,
16215,22815,46034,post,
25504,22773,45965,post,
25387,22754,46011,post,
26560,23700,46464,post,
18111,20994,45618,post,
24577,23258,45180,post,
18480,20790,45623,post,
18550,20895,46030,post,
25758,19468,44735,post,
23723,21766,45565,post,
23718,21769,45562,post,
23807,21700,45097,post,
23747,21727,45109,post,
23689,21690,45100,post,
19869,20738,45263,post,
19935,20761,45219,post,
18458,20248,45177,post,
22714,20309,44450,post,
22870,20276,44432,post,
25759,19213,44339,post,
