x,y,z,type,bodyId_post
24824,25619,51092,post,
23501,22490,45130,post,
23697,22436,45168,post,
23549,22429,45138,post,
24591,22376,45524,post,
24803,22535,45473,post,
26765,21740,45335,post,
32033,24697,47905,post,
31750,24596,47949,post,
29382,24278,48333,post,
29317,24257,48200,post,
29430,24265,48179,post,
29371,23512,47816,post,
29296,23625,47838,post,
29430,23597,47990,post,
29370,23603,47706,post,
22596,24485,48760,post,
20231,21831,48002,post,
24331,21544,48286,post,
24371,22256,48464,post,
24401,22088,48445,post,
31437,27602,47232,post,
31460,27549,47138,post,
31374,27679,47805,post,
31787,24574,44592,post,
22250,23611,47174,post,
30766,24033,44403,post,
30842,23979,44391,post,
30795,23895,44341,post,
27119,23537,47359,post,
25441,23567,45391,post,
22438,21909,47000,post,
22403,21803,46978,post,
26738,21316,47063,post,
26734,21319,47062,post,
28087,23858,46369,post,
24211,23113,44642,post,
24003,23188,44581,post,
23960,23137,44482,post,
24280,23081,44801,post,
25843,21146,47301,post,
25860,21071,44613,post,
25844,21150,44586,post,
25905,21083,44511,post,
22895,20251,44494,post,
23303,20372,44218,post,
25251,21033,46303,post,
24970,21214,46591,post,
24978,21213,46595,post,
30823,24074,44475,post,
25861,23660,47503,post,
24822,20824,44730,post,
24819,20839,44736,post,
32983,27194,47716,post,
32983,27219,47641,post,
32894,27103,47361,post,
31113,27215,47707,post,
31151,27183,47651,post,
31150,27176,47649,post,
27771,24945,47288,post,
27703,24951,47268,post,
27711,24913,47284,post,
27686,24887,47266,post,
29189,24199,48030,post,
29186,24196,48033,post,
28626,24197,48171,post,
29159,24148,47909,post,
29159,24153,47906,post,
29167,24156,47907,post,
26944,24337,47772,post,
27079,23021,47587,post,
27153,22982,47440,post,
27168,22981,47410,post,
27270,21930,47864,post,
27364,21982,47830,post,
25777,22100,48291,post,
28589,22848,47522,post,
28497,22821,47467,post,
28475,22819,47476,post,
25443,22454,48443,post,
25396,22447,48427,post,
24980,21779,47605,post,
29895,24531,47146,post,
29815,24606,47145,post,
27294,23869,46828,post,
26706,23862,46685,post,
26758,23809,46634,post,
26469,23782,46508,post,
24400,23549,46460,post,
24381,23552,46451,post,
24814,23282,46936,post,
24133,23254,46458,post,
25043,23703,45728,post,
25279,22723,45992,post,
25319,22621,45983,post,
22500,21994,47076,post,
22507,21947,47040,post,
22508,21937,47032,post,
29448,23244,45791,post,
29248,23248,45726,post,
29229,23255,45726,post,
29225,22681,45786,post,
29227,22740,45870,post,
29639,23524,45539,post,
29603,23495,45580,post,
25134,23503,48914,post,
25862,21606,47902,post,
28197,23222,47643,post,
28466,22928,47543,post,
28434,22914,47526,post,
27477,23311,47455,post,
28353,23105,47482,post,
28360,23124,47486,post,
26179,21288,47289,post,
26149,21299,47261,post,
29942,25596,46792,post,
31523,27758,47524,post,
30286,26291,47133,post,
27291,23784,47819,post,
28664,23804,47633,post,
30048,23535,46985,post,
30034,23501,46956,post,
29080,23825,47343,post,
29727,24008,47266,post,
28607,23745,47598,post,
29723,23834,47245,post,
29072,23857,47255,post,
