x,y,z,type
14246,26540,40181,post
14315,26367,40069,post
14281,26303,40127,post
14317,26367,40066,post
12797,28900,32861,post
12835,28884,32844,post
12799,28904,32830,post
21279,30177,40403,post
21292,30165,40390,post
12433,28945,40385,post
12413,28216,40419,post
12362,28311,40287,post
12264,28325,40282,post
12378,28214,40281,post
12457,28134,40465,post
20600,29616,39607,post
20571,29583,39600,post
20548,29577,39614,post
20537,29567,39615,post
12469,29320,28925,post
12446,29305,28902,post
12485,29365,29003,post
19648,28440,39718,post
19675,28420,39693,post
19633,28426,39692,post
19579,28423,39687,post
19399,28323,39673,post
19415,28306,39642,post
19391,28265,39650,post
19032,28111,39673,post
19000,28105,39660,post
18960,28094,39655,post
18890,28108,39680,post
18926,28092,39652,post
14754,25730,40148,post
14748,25647,40189,post
14786,25713,40158,post
12367,25421,39739,post
12140,25482,39663,post
13254,26669,42892,post
13194,26602,42512,post
13217,26642,42495,post
13214,26295,42345,post
13215,26293,42349,post
12777,27785,41097,post
12815,27779,41140,post
12678,27621,41082,post
13004,29038,41499,post
20297,29317,39426,post
20270,29298,39407,post
20259,29288,39393,post
18753,28181,39246,post
18805,28165,39220,post
18475,28006,39407,post
18628,28093,39352,post
18623,28088,39336,post
18940,28181,39076,post
18917,28159,39113,post
18869,28134,39147,post
18883,28139,39104,post
12404,30957,27872,post
12409,30868,27883,post
14643,26851,39813,post
11883,28940,37021,post
12442,29363,29817,post
12459,29332,29840,post
12462,29349,29813,post
23357,29364,43430,post
12603,28017,35326,post
12657,27921,35692,post
12626,28012,35480,post
12625,28016,35466,post
12595,27996,35398,post
12230,25459,39776,post
12296,25413,39763,post
13822,28183,33524,post
13577,28298,33408,post
13617,28224,33359,post
13018,27190,41749,post
13094,27055,41894,post
13179,26899,42059,post
14287,26557,40071,post
14285,26524,40118,post
12231,25746,39910,post
11321,28691,37632,post
18132,27781,39399,post
18136,27803,39393,post
18092,27763,39411,post
18562,27702,39319,post
18629,27719,39178,post
12371,25425,39723,post
14650,26881,39798,post
14602,26745,39804,post
14618,26806,39822,post
15552,26522,39877,post
15608,26525,39833,post
15579,26493,39828,post
15526,26484,39850,post
12369,25217,39669,post
11218,28318,37847,post
11221,28248,37838,post
11285,28613,37717,post
14372,28572,27694,post
12389,28592,35469,post
12617,28868,33729,post
12786,28894,33291,post
12710,29211,33358,post
13825,28109,33360,post
13815,28155,33337,post
13698,28188,33398,post
13705,28201,33354,post
13691,28195,33366,post
14163,29548,26299,post
14545,30100,25810,post
14539,30063,25837,post
19932,29108,39828,post
19870,29127,39766,post
19865,29108,39752,post
20093,29413,39961,post
20051,29378,39897,post
20036,29361,39876,post
19860,29290,39751,post
19843,29294,39783,post
20205,29147,40470,post
20198,29185,40459,post
20290,29221,40523,post
20063,28419,39532,post
20135,28446,39535,post
20095,28430,39530,post
20127,28434,39461,post
20030,28408,39539,post
20085,28418,39461,post
20050,28399,39452,post
20591,28538,38579,post
20607,28526,38553,post
12027,28776,36900,post
14618,26808,39825,post
12231,30019,29030,post
12515,30305,28405,post
12428,29146,30310,post
12461,28880,29226,post
20092,29212,40248,post
18974,27856,39111,post
13081,27082,41665,post
12824,29177,41031,post
12452,27869,40774,post
12455,27870,40775,post
12258,28629,40440,post
12086,28591,40240,post
11957,29258,39798,post
11997,29316,39715,post
12131,29204,39958,post
12387,28448,40534,post
12378,28437,40554,post
12266,28647,40450,post
12120,29186,39969,post
12122,29188,39971,post
11263,28770,37604,post
12453,29979,40342,post
12061,29301,39049,post
12234,29433,37920,post
11186,28583,37891,post
11216,28219,38102,post
11215,28223,38097,post
11222,28214,38099,post
11180,28619,37884,post
11176,28601,37881,post
22950,28649,43806,post
20341,28760,39929,post
12572,28976,40795,post
12401,29025,40482,post
12373,28986,40459,post
12757,27446,41285,post
19082,28350,39201,post
19329,28700,39142,post
19295,28680,39167,post
12353,25547,39884,post
12369,25547,39901,post
19992,28589,38696,post
10916,28660,37863,post
11286,28608,37742,post
14261,27965,33585,post
12633,29160,33389,post
12678,28895,32398,post
12654,28891,32319,post
13632,28394,29231,post
13416,28378,29487,post
13997,28541,28303,post
13982,28566,28243,post
14291,28607,27977,post
13772,28292,29302,post
13749,28335,29280,post
13819,28482,28629,post
13768,29042,27688,post
13734,28946,27678,post
13839,28388,28739,post
13748,28994,27641,post
13801,29064,27576,post
13860,29093,27422,post
13850,29104,27431,post
13798,28247,29376,post
12359,28324,40241,post
12145,29242,40163,post
12514,29383,29737,post
12515,29409,29708,post
12466,29270,29736,post
11962,25980,31071,post
11968,25952,31052,post
11971,25962,31048,post
12151,28438,40235,post
14238,26513,40120,post
12137,29374,39701,post
12061,29337,39700,post
14242,26531,40091,post
12643,28999,40669,post
12567,27625,40312,post
12487,27489,40194,post
15609,27086,40002,post
15596,27057,39998,post
15562,27024,39994,post
15518,27020,39996,post
12518,27612,40160,post
11586,28757,37365,post
11274,28870,37694,post
14124,28196,34368,post
14041,28117,34022,post
14010,28108,34002,post
14114,28213,34302,post
14095,28163,34081,post
14294,28004,33774,post
14184,27992,33666,post
12537,28958,31235,post
12540,28893,31332,post
12991,28667,30237,post
12933,28748,30209,post
12926,28739,30068,post
12450,29103,29471,post
13054,28454,29449,post
13109,28788,28627,post
12399,29038,28786,post
13142,28624,28746,post
13145,28586,28766,post
13111,28466,28788,post
13093,28570,28710,post
12376,29268,28900,post
12380,29260,28918,post
12364,29196,28824,post
13022,28867,28733,post
13038,28498,29367,post
13013,28508,29330,post
13098,28246,28805,post
12359,29666,29218,post
14301,28605,27972,post
14473,28677,27571,post
22904,30394,40506,post
12185,30546,28316,post
24262,30735,41192,post
24206,30734,41189,post
24227,30730,41202,post
12745,28496,29906,post
13111,27683,29816,post
12617,28842,30066,post
12570,28816,30085,post
12755,28767,30091,post
12799,28763,30023,post
12752,28794,29954,post
13285,28785,28316,post
12414,29230,28796,post
12554,28241,40805,post
12294,28738,40203,post
12113,28489,40289,post
12164,28472,40234,post
12141,28457,40251,post
12153,28461,40231,post
12153,28444,40221,post
11975,29340,39697,post
12076,28690,39868,post
12236,25873,39991,post
12081,26025,39973,post
12805,29197,40936,post
12796,29232,40900,post
12234,25871,39989,post
11282,28832,37496,post
12091,26070,39888,post
11939,26017,39879,post
11900,26108,39854,post
11904,26016,39830,post
12527,28048,40689,post
11316,27772,38308,post
11279,27735,38266,post
11276,27740,38259,post
12521,28168,40702,post
12376,28428,40547,post
12148,29526,38045,post
11209,28189,38147,post
11064,28742,37709,post
11206,28207,38142,post
12652,29005,35250,post
12659,29000,35226,post
12663,28974,35186,post
12661,28969,35176,post
12042,30399,28916,post
14821,28071,34173,post
14824,28048,34172,post
23034,28828,43730,post
13031,27144,41726,post
13073,27032,41895,post
13001,27056,41867,post
13042,26993,41888,post
13218,26702,42413,post
13192,26603,42314,post
12596,28100,40784,post
12554,28222,40751,post
14124,28153,34171,post
13191,26709,42245,post
13198,26935,42138,post
13195,26907,42172,post
12609,28953,41014,post
12662,28857,41098,post
12611,28938,40988,post
12137,29164,40274,post
12858,28893,41394,post
12941,28816,41414,post
12551,27492,40021,post
12556,28951,40884,post
11846,28853,39945,post
12328,28987,40641,post
12324,29151,40555,post
19807,29138,39605,post
19792,29068,39578,post
19783,29092,39551,post
19795,29092,39619,post
19553,28850,39555,post
19818,29043,39723,post
19787,29010,39722,post
19808,29031,39715,post
19770,29000,39708,post
19815,28959,39230,post
19778,28946,39218,post
19841,28960,39201,post
12007,29182,40055,post
11973,29087,40144,post
11955,29072,40169,post
12558,28931,40911,post
12558,28930,40915,post
19474,28752,39189,post
19166,28338,38604,post
19170,28347,38581,post
19129,28312,38574,post
19480,28444,39063,post
19418,28416,39087,post
19439,28445,39078,post
19378,28448,39097,post
19392,28465,39085,post
19322,28467,39124,post
11253,27831,38220,post
20156,28939,39120,post
20116,28926,39124,post
20035,28944,39139,post
20079,28930,39122,post
20048,28981,39165,post
19649,28341,39107,post
19658,28361,39082,post
11990,28718,40042,post
11972,28710,40068,post
21121,29773,39653,post
21171,29748,39653,post
21089,29763,39646,post
20861,29717,39566,post
20845,29717,39562,post
11215,27961,38177,post
11219,27923,38187,post
11956,29424,38879,post
11958,29416,38838,post
12540,27561,40139,post
21139,29781,39691,post
21151,29784,39702,post
11811,29259,39934,post
11825,29291,39887,post
20823,29700,39577,post
20402,29331,39311,post
20355,29329,39309,post
20475,29288,39256,post
20477,29290,39258,post
20496,29316,39244,post
20493,29289,39244,post
19190,28353,38281,post
19184,28349,38273,post
19886,28628,38794,post
19169,28343,38264,post
12144,29438,38270,post
12139,29434,38281,post
12283,29333,38244,post
10791,28791,38048,post
11162,28056,38092,post
12573,28805,35158,post
12304,28570,35745,post
12405,28720,35408,post
12422,28717,35364,post
13954,28139,33454,post
12912,28687,32187,post
13484,28396,33280,post
13445,28411,33240,post
13929,28163,33455,post
13782,28226,33450,post
13761,28212,33399,post
13832,28169,33387,post
13841,28147,33359,post
13796,28175,33345,post
13568,28345,33345,post
13553,28389,33346,post
13726,28217,33295,post
13481,28421,33279,post
13445,28415,33240,post
12808,28949,31509,post
12915,28682,32389,post
12830,28960,31046,post
12824,28975,30997,post
12794,28971,31034,post
12802,28987,31459,post
12794,28950,31458,post
12800,28974,31429,post
12825,28924,31764,post
12820,28919,31751,post
12830,28878,31730,post
13428,28407,29266,post
12927,28828,30177,post
12920,28831,30185,post
12825,28759,30060,post
12804,28762,30075,post
12796,28771,30027,post
13030,28599,29655,post
13115,28474,29455,post
13401,28422,29359,post
13414,28418,29314,post
12327,30580,28064,post
12353,30619,28042,post
12341,30602,28039,post
12378,30721,27977,post
12351,30649,28001,post
12355,30648,28198,post
12477,30771,27453,post
12478,30780,27435,post
12461,30813,27193,post
12444,30786,27168,post
12472,30750,27174,post
12700,28621,31299,post
12577,28952,30942,post
20414,29434,39269,post
20323,29436,39262,post
12489,28970,40280,post
14320,27885,33904,post
12282,29318,30000,post
12564,28470,29915,post
12591,28457,29887,post
12716,29004,41210,post
12924,29215,41339,post
13227,26393,42356,post
13200,26493,42278,post
12924,29209,41344,post
12647,28040,40925,post
12582,27982,40899,post
12554,28075,40842,post
12674,28965,41228,post
12473,28040,40715,post
12488,28021,40736,post
12546,27877,40913,post
11979,29078,40212,post
11947,29064,40219,post
12072,28736,40359,post
12048,28740,40334,post
12069,28720,40355,post
13234,26244,42383,post
13205,26350,42326,post
12817,28924,41375,post
12676,27835,41069,post
11574,29302,39547,post
19764,29157,39475,post
19738,29121,39449,post
11931,29025,39902,post
11933,28981,39911,post
11883,29087,39846,post
19557,28833,39315,post
19519,28816,39315,post
19238,28162,39676,post
19254,28174,39675,post
11956,28957,40021,post
11944,28983,39994,post
11927,29004,39961,post
11403,28896,37575,post
11945,28972,39960,post
19783,28922,39152,post
19786,28882,39136,post
11438,28915,37497,post
12139,29210,38412,post
19071,28261,38642,post
20176,28516,38984,post
19946,28473,38945,post
19956,28485,38918,post
19928,29067,39045,post
19904,29089,39020,post
11969,28860,40082,post
11976,28912,40080,post
11996,28854,40125,post
12023,29208,38704,post
11989,29207,38794,post
19108,28301,38389,post
12260,29300,38099,post
20364,28624,38865,post
20373,28589,38829,post
20367,28556,38786,post
12263,29299,38097,post
12140,29211,38373,post
12140,29247,38298,post
19085,28295,38697,post
19085,28256,38711,post
12150,29247,38264,post
10949,28763,37830,post
11358,29064,37441,post
12481,29075,37035,post
11750,29059,37063,post
11418,29062,37400,post
10924,28666,37856,post
11604,28987,37283,post
11722,28956,37123,post
12284,28593,36065,post
12273,28611,36036,post
12002,28885,36761,post
14117,28170,33918,post
14243,28091,33825,post
14231,28096,33807,post
14258,28066,33795,post
12863,28814,32993,post
14249,28037,33718,post
14240,28033,33698,post
14266,27999,33715,post
12821,28958,31703,post
12847,28971,31675,post
12805,29030,31487,post
12817,28861,31974,post
14143,28162,33943,post
12624,28944,30414,post
12642,28930,30338,post
12764,29033,30820,post
12624,28920,30420,post
12640,28904,30374,post
12633,28891,30344,post
12674,28911,29876,post
12439,29401,29690,post
12590,28876,30207,post
12604,28912,30173,post
12600,28904,30180,post
12763,28771,30187,post
12564,28900,30047,post
12545,28859,30020,post
12543,28900,30006,post
12970,28683,29521,post
12505,29540,29623,post
12388,30267,28747,post
12226,30322,28602,post
14072,28616,28181,post
13318,28811,28234,post
13315,28817,28264,post
13088,28692,28570,post
13100,28715,28570,post
13069,28706,28538,post
13115,28794,28523,post
13300,28874,28427,post
13250,28898,28458,post
13026,28812,28773,post
13123,28690,28784,post
13088,28793,29011,post
12986,28659,29359,post
12980,28649,29235,post
13831,29147,27168,post
13798,29150,27165,post
12224,30419,28398,post
12216,30438,28370,post
13966,28653,28126,post
13952,28658,28114,post
14165,28582,28061,post
13657,28805,28011,post
13651,28802,28031,post
13332,28890,27951,post
13770,29254,27399,post
12444,30781,27360,post
12498,30943,27254,post
12281,30779,27203,post
20170,29159,40507,post
20261,29224,40523,post
20170,29161,40505,post
13320,26190,43376,post
13103,27110,41783,post
12665,28958,41093,post
12644,29022,41079,post
12679,28937,41064,post
12670,28870,41098,post
12674,28863,41098,post
12482,28047,40759,post
12581,27779,40945,post
12562,28280,40918,post
14307,25500,40486,post
12048,28689,40260,post
12238,28481,40210,post
12307,28408,40277,post
12620,27653,41054,post
12456,28069,40436,post
12449,28085,40432,post
12122,29188,40147,post
11997,26006,39947,post
12102,29190,39993,post
12097,29203,39989,post
12282,29351,40461,post
12307,28600,40495,post
12452,28481,40537,post
12464,28486,40551,post
14623,25560,40164,post
14645,25591,40163,post
14607,25542,40145,post
14594,25534,40161,post
12080,25826,39899,post
11437,28782,37525,post
14344,25331,40364,post
14370,25474,40429,post
14374,25454,40397,post
11989,26013,39928,post
11956,26014,39868,post
14399,25453,40362,post
14361,25462,40303,post
14394,25473,40289,post
14628,25588,40226,post
14527,25401,40213,post
12382,28109,40539,post
12342,28020,40504,post
12321,28007,40495,post
11862,28867,39941,post
11890,26196,39906,post
12256,29402,40376,post
11896,26133,39848,post
12122,29570,38114,post
12120,29568,38112,post
12035,29237,39957,post
12167,29772,37897,post
12138,29706,37921,post
11560,28787,37373,post
11562,28794,37367,post
12019,29227,39143,post
12144,29689,37864,post
12252,29475,37677,post
12250,29473,37675,post
12224,29467,37621,post
12569,28697,35209,post
12642,28686,35089,post
11148,28681,37722,post
11195,28584,37765,post
12335,28565,35853,post
12582,28807,34558,post
12237,28735,36592,post
12630,28857,33749,post
12667,28937,33591,post
14126,28083,33642,post
14101,28015,33593,post
14039,28042,33573,post
12514,29118,30263,post
12553,29014,30843,post
12565,28981,30746,post
12574,28958,30774,post
12486,29196,29976,post
12492,29237,29940,post
12489,29240,29946,post
12499,29239,29909,post
12511,29192,29903,post
12558,29256,29507,post
12625,28939,30583,post
12638,28923,30552,post
12293,30144,28602,post
12411,30743,27870,post
12412,29108,28785,post
12309,30986,26919,post
12331,30959,26936,post
12355,30822,27468,post
21278,30159,40556,post
21278,30193,40547,post
21252,30137,40550,post
21233,30150,40454,post
21202,30173,40399,post
21220,30167,40419,post
21189,30168,40392,post
21190,30113,40423,post
13379,26270,43332,post
13397,26354,43175,post
12400,29431,29387,post
12216,29984,28909,post
12196,30011,28943,post
12393,30978,27867,post
12361,31074,27727,post
12220,29822,29016,post
12327,29511,29401,post
12267,29620,29265,post
12251,29614,29264,post
12267,30728,28143,post
12310,30901,28015,post
12298,30872,28029,post
12276,30712,27990,post
12210,30599,28148,post
12257,30665,28015,post
12416,31436,27510,post
12395,31369,27520,post
12597,31693,27324,post
12632,31644,27311,post
12973,31792,26911,post
13080,27772,29710,post
12375,28963,28809,post
12284,28658,36325,post
12229,28899,36683,post
12234,28865,36653,post
12247,28248,36676,post
12530,28731,35018,post
12535,28718,35035,post
12322,30788,27514,post
13360,26158,43376,post
18081,27682,39554,post
13959,28455,28548,post
11988,25912,30974,post
11966,25906,30966,post
11973,25927,30949,post
11968,25888,30977,post
11823,27393,30390,post
11811,27402,30387,post
11814,27408,30385,post
11815,27409,30385,post
23397,30457,41757,post
12608,28490,29905,post
12803,28624,29807,post
13172,28461,30000,post
13120,28281,28784,post
12769,29090,40958,post
12720,29071,40935,post
19013,28322,39182,post
11766,29505,39517,post
11790,29484,39506,post
11263,28591,37814,post
11274,28585,37732,post
11458,29015,37366,post
13008,28208,29609,post
12863,28712,29800,post
12887,28713,29811,post
12233,29821,28560,post
12292,29765,28505,post
12646,29125,28641,post
12663,29104,28593,post
12525,29109,29433,post
12582,31274,27435,post
12569,31244,27433,post
12542,31198,27429,post
12299,30304,28297,post
13063,28431,29661,post
14942,26582,40067,post
17850,27871,39855,post
14743,25673,40164,post
14773,25733,40132,post
14705,25644,40166,post
17916,27886,39842,post
11225,28212,37981,post
11263,28230,37928,post
12555,27301,40079,post
12351,26647,39901,post
12349,26440,39905,post
12340,26392,39904,post
12761,28938,32513,post
13184,28876,28576,post
12546,31499,27296,post
12518,31406,27244,post
12736,31659,26953,post
13558,28386,29290,post
14015,28660,28206,post
13746,29354,27219,post
13967,28717,28108,post
12979,28727,41315,post
20063,29218,39783,post
19966,29187,39482,post
19853,29187,39656,post
20521,29572,40034,post
20367,29466,40059,post
20420,29473,40038,post
19751,29138,39448,post
20028,29181,39761,post
20410,29472,40001,post
19936,29135,39683,post
19969,29158,39695,post
19689,28914,39248,post
19608,28870,39264,post
19638,28888,39271,post
19606,28868,39262,post
19762,28943,39286,post
19777,28960,39263,post
19710,28929,39278,post
20552,29627,39875,post
20520,29598,39835,post
20077,29225,39820,post
20025,29185,39876,post
11209,28249,37945,post
12551,27956,35465,post
12566,27967,35410,post
12951,28491,33131,post
12791,29017,31226,post
13020,28411,29942,post
13049,28395,29785,post
12395,28959,28838,post
12537,31208,27527,post
12373,30829,27272,post
12374,30834,27268,post
12473,30770,27245,post
12608,31321,27300,post
12656,31471,27240,post
12687,31523,27114,post
12121,30185,28869,post
12209,30015,28756,post
13373,28755,28180,post
13707,28573,28844,post
13429,28864,27816,post
13663,28799,27822,post
13416,28814,27738,post
13606,28636,29010,post
13665,28549,29001,post
13528,29034,27261,post
13496,29032,27269,post
13710,29328,26775,post
13717,29332,26763,post
14061,29618,26238,post
13650,29473,26211,post
13900,28620,28093,post
13915,28650,28102,post
13523,28714,28124,post
13390,28835,28065,post
13573,28763,28052,post
13470,28695,28104,post
13612,28751,27964,post
13679,28998,27515,post
13549,28959,27462,post
13959,29583,26061,post
12410,26750,39911,post
13061,31690,26571,post
