x,y,z,type
32899,33417,32752,pre
23273,29981,42701,pre
23311,30032,42675,pre
23270,30075,42633,pre
23267,30051,42602,pre
23258,30029,42615,pre
23222,30031,42596,pre
23304,30337,42342,pre
23269,30386,42221,pre
23266,30365,42250,pre
23341,30377,42216,pre
23273,30399,42190,pre
23296,30382,42178,pre
23308,30399,42151,pre
23360,30425,42097,pre
23387,30538,42041,pre
23373,30468,42014,pre
23232,30148,42507,pre
23236,30175,42480,pre
23262,30280,42363,pre
23341,30487,42032,pre
23337,30514,42031,pre
23373,30483,41988,pre
23380,30503,41947,pre
23399,30619,41844,pre
23497,30511,41607,pre
23482,30545,41575,pre
23542,30590,41530,pre
23635,30406,41280,pre
23644,30391,41246,pre
23665,30371,41202,pre
23496,30521,41465,pre
23524,30496,41459,pre
23528,30473,41359,pre
23597,30537,41380,pre
23579,30469,41265,pre
23637,30311,41080,pre
35722,27052,41150,pre
35603,27111,41111,pre
24276,30313,40840,pre
23751,30322,40919,pre
23762,30309,40897,pre
23964,30257,40669,pre
24270,30288,40824,pre
24292,30251,40776,pre
24306,30194,40741,pre
24343,30164,40631,pre
24362,30153,40593,pre
23721,30257,40982,pre
23704,30250,40912,pre
23734,30251,40863,pre
23756,30252,40824,pre
23764,30249,40798,pre
23841,30271,40784,pre
23772,30244,40757,pre
23822,30240,40707,pre
24078,30240,40566,pre
35783,27087,40951,pre
24667,30687,40399,pre
23354,30362,40352,pre
23274,30389,40335,pre
24680,30158,40026,pre
24691,30143,40003,pre
24668,30001,39997,pre
24404,30120,40522,pre
24466,30051,40331,pre
24511,30030,40335,pre
24450,30097,40322,pre
24463,30090,40286,pre
24320,30111,40286,pre
24596,30042,40160,pre
24465,30091,40175,pre
24520,30139,40146,pre
35204,27920,40257,pre
33762,34776,39650,pre
34179,32893,39573,pre
26224,30456,39556,pre
26114,30361,39744,pre
26098,30443,39699,pre
25281,29998,39555,pre
24798,29974,39952,pre
24849,29941,40007,pre
24905,29954,39914,pre
24784,30091,39910,pre
24953,29956,39866,pre
24825,30094,39862,pre
24973,29987,39767,pre
24866,30051,39842,pre
25076,29990,39680,pre
25048,30013,39678,pre
33690,29416,39482,pre
34367,28955,39899,pre
34371,28923,39882,pre
34276,29036,39836,pre
34007,29166,39567,pre
26267,30477,39449,pre
26375,30410,39183,pre
25876,30218,39108,pre
26160,29926,39069,pre
25983,29877,38999,pre
25497,29988,39386,pre
25487,29946,39316,pre
33553,29403,39361,pre
27017,29700,39057,pre
26789,29704,39023,pre
33742,37561,38824,pre
32610,30218,38654,pre
32613,30126,38635,pre
31979,30040,38733,pre
29366,29999,38950,pre
27831,29892,38809,pre
27445,29788,38907,pre
27094,30026,38769,pre
26511,29792,38948,pre
26524,29903,38937,pre
26466,29906,38849,pre
26173,29912,38922,pre
28472,29662,38696,pre
28006,29734,38948,pre
28243,29768,38810,pre
27558,29743,38734,pre
26548,29792,38941,pre
26541,29714,38812,pre
36465,24922,38771,pre
27588,30401,37972,pre
33093,31708,37437,pre
32904,31315,37858,pre
32783,30993,37919,pre
34857,33396,36987,pre
33190,31953,37193,pre
33283,32119,37066,pre
33295,32079,36952,pre
33135,31751,37326,pre
33567,32385,36540,pre
33496,32356,36493,pre
33335,32136,36690,pre
33247,32000,36440,pre
33392,32193,36347,pre
33344,32263,36152,pre
32902,33778,32870,pre
32919,33430,32449,pre
32791,33510,32433,pre
32539,33221,32490,pre
32505,33208,32461,pre
32542,33214,32464,pre
32776,33450,32167,pre
32845,33384,31988,pre
32795,33823,31716,pre
32706,33787,31308,pre
32788,33440,31662,pre
32370,33607,30457,pre
32512,34412,29882,pre
32520,34402,29847,pre
32548,34406,29847,pre
32557,34236,30045,pre
32584,34326,29945,pre
32323,33416,30237,pre
32539,34434,29678,pre
32613,34403,29505,pre
32232,32834,29594,pre
31642,33380,29143,pre
31253,33552,28778,pre
32486,34983,28705,pre
32285,35128,28454,pre
32231,34440,28708,pre
31891,35725,28025,pre
32084,35205,28182,pre
32069,35306,28193,pre
31185,36736,27460,pre
31490,36209,27530,pre
31729,35472,27618,pre
31784,35527,27497,pre
31682,35578,27512,pre
31590,35519,27498,pre
31790,35393,27490,pre
31766,35430,27395,pre
31572,35529,27328,pre
31816,35308,27505,pre
31804,35378,27511,pre
30580,33576,27251,pre
29838,34092,25890,pre
29524,34424,25546,pre
29542,34405,25554,pre
29680,34362,25633,pre
30518,33375,27206,pre
33534,33381,35144,pre
34351,33482,36428,pre
32061,33460,29784,pre
23635,30329,41130,pre
23180,29995,42638,pre
