mn_id,instance,mn_type,class,status,predicted_nt,exit_nerve,hemilineage,target,subsystem,thorax,side,joint,dof,actuator_name,sign,action,gain,bias,weight,confidence,mapping_basis,notes,target_body,target_joint
19300,MNad01_AbN3_L,MNad01,motor neuron,Traced,glutamate,AbN3_L,TBD,abdomen,abdomen,Ab,left,abdomen,main,abdomen,1.0,abdomen_drive,1.0,0.0,1.000,medium,generic_abdomen_rule,"Generic abdomen placeholder retained from the old bridge, now isolated as an explicit coarse rule.",abdomen,abdomen
18939,MNad01_AbN3_R,MNad01,motor neuron,Traced,glutamate,AbN3_R,TBD,abdomen,abdomen,Ab,right,abdomen,main,abdomen,1.0,abdomen_drive,1.0,0.0,1.000,medium,generic_abdomen_rule,"Generic abdomen placeholder retained from the old bridge, now isolated as an explicit coarse rule.",abdomen,abdomen
21022,MNad01_AbN4_L,MNad01,motor neuron,Traced,glutamate,AbN4_L,TBD,abdomen,abdomen,Ab,left,abdomen,main,abdomen,1.0,abdomen_drive,1.0,0.0,1.000,medium,generic_abdomen_rule,"Generic abdomen placeholder retained from the old bridge, now isolated as an explicit coarse rule.",abdomen,abdomen
29602,MNad01_AbN4_L,MNad01,motor neuron,Traced,glutamate,AbN4_L,TBD,abdomen,abdomen,Ab,left,abdomen,main,abdomen,1.0,abdomen_drive,1.0,0.0,1.000,medium,generic_abdomen_rule,"Generic abdomen placeholder retained from the old bridge, now isolated as an explicit coarse rule.",abdomen,abdomen
20052,MNad01_AbN4_R,MNad01,motor neuron,Traced,glutamate,AbN4_R,TBD,abdomen,abdomen,Ab,right,abdomen,main,abdomen,1.0,abdomen_drive,1.0,0.0,1.000,medium,generic_abdomen_rule,"Generic abdomen placeholder retained from the old bridge, now isolated as an explicit coarse rule.",abdomen,abdomen
155854,MNad01_AbN4_R,MNad01,motor neuron,Traced,unclear,AbN4_R,TBD,abdomen,abdomen,Ab,right,abdomen,main,abdomen,1.0,abdomen_drive,1.0,0.0,1.000,medium,generic_abdomen_rule,"Generic abdomen placeholder retained from the old bridge, now isolated as an explicit coarse rule.",abdomen,abdomen
18551,MNad02_AbN2_L,MNad02,motor neuron,Traced,glutamate,AbN2_L,TBD,abdomen A2,abdomen,Ab,left,abdomen,main,abdomen,1.0,abdomen_drive,1.0,0.0,1.000,medium,generic_abdomen_rule,"Generic abdomen placeholder retained from the old bridge, now isolated as an explicit coarse rule.",abdomen,abdomen
17719,MNad02_AbN2_R,MNad02,motor neuron,Traced,glutamate,AbN2_R,TBD,abdomen A2,abdomen,Ab,right,abdomen,main,abdomen,1.0,abdomen_drive,1.0,0.0,1.000,medium,generic_abdomen_rule,"Generic abdomen placeholder retained from the old bridge, now isolated as an explicit coarse rule.",abdomen,abdomen
19693,MNad02_AbN3_L,MNad02,motor neuron,Traced,acetylcholine,AbN3_L,TBD,abdomen,abdomen,Ab,left,abdomen,main,abdomen,1.0,abdomen_drive,1.0,0.0,1.000,medium,generic_abdomen_rule,"Generic abdomen placeholder retained from the old bridge, now isolated as an explicit coarse rule.",abdomen,abdomen
24225,MNad02_AbN3_R,MNad02,motor neuron,Traced,unclear,AbN3_R,TBD,abdomen,abdomen,Ab,right,abdomen,main,abdomen,1.0,abdomen_drive,1.0,0.0,1.000,medium,generic_abdomen_rule,"Generic abdomen placeholder retained from the old bridge, now isolated as an explicit coarse rule.",abdomen,abdomen
18503,MNad02_AbN4_L,MNad02,motor neuron,Traced,gaba,AbN4_L,TBD,abdomen,abdomen,Ab,left,abdomen,main,abdomen,1.0,abdomen_drive,1.0,0.0,1.000,medium,generic_abdomen_rule,"Generic abdomen placeholder retained from the old bridge, now isolated as an explicit coarse rule.",abdomen,abdomen
19824,MNad02_AbN4_L,MNad02,motor neuron,Traced,glutamate,AbN4_L,TBD,abdomen,abdomen,Ab,left,abdomen,main,abdomen,1.0,abdomen_drive,1.0,0.0,1.000,medium,generic_abdomen_rule,"Generic abdomen placeholder retained from the old bridge, now isolated as an explicit coarse rule.",abdomen,abdomen
25810,MNad02_AbN4_L,MNad02,motor neuron,Traced,glutamate,AbN4_L,TBD,abdomen,abdomen,Ab,left,abdomen,main,abdomen,1.0,abdomen_drive,1.0,0.0,1.000,medium,generic_abdomen_rule,"Generic abdomen placeholder retained from the old bridge, now isolated as an explicit coarse rule.",abdomen,abdomen
27651,MNad02_AbN4_L,MNad02,motor neuron,Traced,acetylcholine,AbN4_L,TBD,abdomen,abdomen,Ab,left,abdomen,main,abdomen,1.0,abdomen_drive,1.0,0.0,1.000,medium,generic_abdomen_rule,"Generic abdomen placeholder retained from the old bridge, now isolated as an explicit coarse rule.",abdomen,abdomen
17319,MNad02_AbN4_R,MNad02,motor neuron,Traced,glutamate,AbN4_R,TBD,abdomen,abdomen,Ab,right,abdomen,main,abdomen,1.0,abdomen_drive,1.0,0.0,1.000,medium,generic_abdomen_rule,"Generic abdomen placeholder retained from the old bridge, now isolated as an explicit coarse rule.",abdomen,abdomen
20055,MNad02_AbN4_R,MNad02,motor neuron,Traced,gaba,AbN4_R,TBD,abdomen,abdomen,Ab,right,abdomen,main,abdomen,1.0,abdomen_drive,1.0,0.0,1.000,medium,generic_abdomen_rule,"Generic abdomen placeholder retained from the old bridge, now isolated as an explicit coarse rule.",abdomen,abdomen
