mn_type,mn_id,thorax,side,nerve_base,segment_hint,group,Target,joint,dof,action,gain,bias,sign,actuator_name,instance,type,systematicType,name,cellType,class,actuator_hint_note,actuator_name_autofill_score,muscle_group
MNad50_AbNT_R AbNT_L,13444,,left,R-AbNT,,,,,,,1.0,0.0,,femur_t1_left,MNad50_AbNT_R AbNT_L,MNad50,MNad50,,,motor neuron,no Target,8,extensor
MNad09_AbNT,13182,,,AbNT,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad09_AbNT,MNad09,MNad09,,,motor neuron,no Target,4,extensor
MNad09_AbNT,13631,,,AbNT,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad09_AbNT,MNad09,MNad09,,,motor neuron,no Target,4,extensor
MNad09_AbNT,13760,,,AbNT,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad09_AbNT,MNad09,MNad09,,,motor neuron,no Target,4,extensor
MNad09_AbNT,14859,,,AbNT,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad09_AbNT,MNad09,MNad09,,,motor neuron,no Target,4,extensor
MNad09_AbNT,14883,,,AbNT,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad09_AbNT,MNad09,MNad09,,,motor neuron,no Target,4,extensor
MNad09_AbNT,15529,,,AbNT,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad09_AbNT,MNad09,MNad09,,,motor neuron,no Target,4,extensor
MNad09_AbNT,16730,,,AbNT,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad09_AbNT,MNad09,MNad09,,,motor neuron,no Target,4,extensor
MNad09_AbNT,100375,,,AbNT,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad09_AbNT,MNad09,MNad09,,,motor neuron,no Target,4,extensor
MNad22_AbNT,11242,,,AbNT,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad22_AbNT,MNad22,MNad22,,,motor neuron,no Target,4,extensor
MNad22_AbNT,11545,,,AbNT,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad22_AbNT,MNad22,MNad22,,,motor neuron,no Target,4,extensor
MNad50_AbNT,14234,,,AbNT,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad50_AbNT,MNad50,MNad50,,,motor neuron,no Target,4,extensor
MNad50_AbNT,15736,,,AbNT,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad50_AbNT,MNad50,MNad50,,,motor neuron,no Target,4,extensor
MNad01_AbN3_L,19300,,left,AbN3,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad01_AbN3_L,MNad01,MNad01,,,motor neuron,no Target,4,extensor
MNad01_AbN4_L,21022,,left,AbN4,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad01_AbN4_L,MNad01,MNad01,,,motor neuron,no Target,4,extensor
MNad01_AbN4_L,29602,,left,AbN4,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad01_AbN4_L,MNad01,MNad01,,,motor neuron,no Target,4,extensor
MNad02_AbN2_L,18551,,left,AbN2,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad02_AbN2_L,MNad02,MNad02,,,motor neuron,no Target,4,extensor
MNad02_AbN3_L,19693,,left,AbN3,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad02_AbN3_L,MNad02,MNad02,,,motor neuron,no Target,4,extensor
MNad02_AbN4_L,18503,,left,AbN4,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad02_AbN4_L,MNad02,MNad02,,,motor neuron,no Target,4,extensor
MNad02_AbN4_L,19824,,left,AbN4,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad02_AbN4_L,MNad02,MNad02,,,motor neuron,no Target,4,extensor
MNad02_AbN4_L,25810,,left,AbN4,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad02_AbN4_L,MNad02,MNad02,,,motor neuron,no Target,4,extensor
MNad02_AbN4_L,27651,,left,AbN4,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad02_AbN4_L,MNad02,MNad02,,,motor neuron,no Target,4,extensor
MNad03_AbN4_L,16305,,left,AbN4,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad03_AbN4_L,MNad03,MNad03,,,motor neuron,no Target,4,extensor
