mn_type,mn_id,nerve,subsystem,thorax,side,joint,dof,actuator_name,sign,action,gain,bias,confidence,notes,target_body,target_joint,weight
MNfl10_ProLN_L,17664,ProLN,leg,T1,left,,,coxa_T1_left,1.0,,1.0,0.0,low,placeholder; refine to femur/tibia/twist if known,leg_T1,coxa,1.0
MNfl10_ProLN_R,18483,ProLN,leg,T1,right,,,coxa_T1_right,1.0,,1.0,0.0,low,placeholder; refine to femur/tibia/twist if known,leg_T1,coxa,1.0
MNhl29_MetaLN_L,102123,MetaLN,leg,T3,left,,,coxa_T3_left,1.0,,1.0,0.0,low,placeholder; refine to femur/tibia/twist if known,leg_T3,coxa,1.0
MNhl29_MetaLN_R,14649,MetaLN,leg,T3,right,,,coxa_T3_right,1.0,,1.0,0.0,low,placeholder; refine to femur/tibia/twist if known,leg_T3,coxa,1.0
MNhl59_MetaLN_L,11809,MetaLN,leg,T3,left,,,coxa_T3_left,1.0,,1.0,0.0,low,placeholder; refine to femur/tibia/twist if known,leg_T3,coxa,1.0
MNhl59_MetaLN_R,13543,MetaLN,leg,T3,right,,,coxa_T3_right,1.0,,1.0,0.0,low,placeholder; refine to femur/tibia/twist if known,leg_T3,coxa,1.0
MNhl60_MetaLN_L,157709,MetaLN,leg,T3,left,,,coxa_T3_left,1.0,,1.0,0.0,low,placeholder; refine to femur/tibia/twist if known,leg_T3,coxa,1.0
MNhl60_MetaLN_R,27205,MetaLN,leg,T3,right,,,coxa_T3_right,1.0,,1.0,0.0,low,placeholder; refine to femur/tibia/twist if known,leg_T3,coxa,1.0
MNhl61_MetaLN_L,27757,MetaLN,leg,T3,left,,,coxa_T3_left,1.0,,1.0,0.0,low,placeholder; refine to femur/tibia/twist if known,leg_T3,coxa,1.0
MNhl61_MetaLN_R,19744,MetaLN,leg,T3,right,,,coxa_T3_right,1.0,,1.0,0.0,low,placeholder; refine to femur/tibia/twist if known,leg_T3,coxa,1.0
MNhl63_MetaLN_L,25599,MetaLN,leg,T3,left,,,coxa_T3_left,1.0,,1.0,0.0,low,placeholder; refine to femur/tibia/twist if known,leg_T3,coxa,1.0
MNhl63_MetaLN_R,15550,MetaLN,leg,T3,right,,,coxa_T3_right,1.0,,1.0,0.0,low,placeholder; refine to femur/tibia/twist if known,leg_T3,coxa,1.0
MNhl64_MetaLN_L,29474,MetaLN,leg,T3,left,,,coxa_T3_left,1.0,,1.0,0.0,low,placeholder; refine to femur/tibia/twist if known,leg_T3,coxa,1.0
MNhl64_MetaLN_R,13740,MetaLN,leg,T3,right,,,coxa_T3_right,1.0,,1.0,0.0,low,placeholder; refine to femur/tibia/twist if known,leg_T3,coxa,1.0
MNhl65_MetaLN_L,19480,MetaLN,leg,T3,left,,,coxa_T3_left,1.0,,1.0,0.0,low,placeholder; refine to femur/tibia/twist if known,leg_T3,coxa,1.0
MNhl65_MetaLN_R,13144,MetaLN,leg,T3,right,,,coxa_T3_right,1.0,,1.0,0.0,low,placeholder; refine to femur/tibia/twist if known,leg_T3,coxa,1.0
MNhl66_MetaLN_L,13095,MetaLN,leg,T3,left,,,coxa_T3_left,1.0,,1.0,0.0,low,placeholder; refine to femur/tibia/twist if known,leg_T3,coxa,1.0
MNhl66_MetaLN_R,12800,MetaLN,leg,T3,right,,,coxa_T3_right,1.0,,1.0,0.0,low,placeholder; refine to femur/tibia/twist if known,leg_T3,coxa,1.0
MNhl67_MetaLN_R,11480,MetaLN,leg,T3,right,,,coxa_T3_right,1.0,,1.0,0.0,low,placeholder; refine to femur/tibia/twist if known,leg_T3,coxa,1.0
MNhl67_MetaLN_R,12504,MetaLN,leg,T3,right,,,coxa_T3_right,1.0,,1.0,0.0,low,placeholder; refine to femur/tibia/twist if known,leg_T3,coxa,1.0
MNhl68_MetaLN_L,14339,MetaLN,leg,T3,left,,,coxa_T3_left,1.0,,1.0,0.0,low,placeholder; refine to femur/tibia/twist if known,leg_T3,coxa,1.0
MNhl68_MetaLN_R,10968,MetaLN,leg,T3,right,,,coxa_T3_right,1.0,,1.0,0.0,low,placeholder; refine to femur/tibia/twist if known,leg_T3,coxa,1.0
MNhl68_MetaLN_R,13512,MetaLN,leg,T3,right,,,coxa_T3_right,1.0,,1.0,0.0,low,placeholder; refine to femur/tibia/twist if known,leg_T3,coxa,1.0
MNhl69_MetaLN_L,100824,MetaLN,leg,T3,left,,,coxa_T3_left,1.0,,1.0,0.0,low,placeholder; refine to femur/tibia/twist if known,leg_T3,coxa,1.0
MNhl70_MetaLN_L,35407,MetaLN,leg,T3,left,,,coxa_T3_left,1.0,,1.0,0.0,low,placeholder; refine to femur/tibia/twist if known,leg_T3,coxa,1.0
MNhl71_MetaLN_L,192364,MetaLN,leg,T3,left,,,coxa_T3_left,1.0,,1.0,0.0,low,placeholder; refine to femur/tibia/twist if known,leg_T3,coxa,1.0
